urba_club_id,nombre_institucion,nombre_equipo,sufijo,categoria,divisiones,anios,veces,g22_club_id,g22_nombre,g22_union,estado,confianza
75,Atletico San Andres,Atletico San Andres,,femenino,Femenino - Campeonato 12 | Femenino - Campeonato 12 - Clasificación | Femenino - Campeonato 12 - Revancha | Femenino - Campeonato 12 - Zona A | Femenino - Ten - Primera rueda | Femenino - Ten - Zona A | Femenino - Top 4 | Femenino - Top 7 | Femenino - Zona Desarrollo - Segunda Rueda,2021 2022 2023 2024 2025,9,san-andres,San Andrés,urba,ambiguo,parcial
63,Atletico y Progreso,Atletico y Progreso,,femenino,FEMENINO - Segunda División | Femenino - Seven - Clasificación | Femenino - Seven - Revancha A | Femenino - Ten - Primera rueda | Femenino - Ten - Segunda rueda,2022 2023 2026,5,,,,club_no_existe,ninguna
80,Banco Hipotecario,Banco Hipotecario,,femenino,FEMENINO - Segunda División | Femenino - Ten | Femenino - Ten - Primera rueda | Femenino - Ten - Zona B | Femenino - Ten - Zona Campeonato - Segunda Rueda,2021 2022 2023 2026,5,,,,club_no_existe,ninguna
71,Beromama,Beromama,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Zona B | Femenino - Desarrollo | Femenino - Ten | Femenino - Top 7,2022 2023 2024 2025 2026,6,,,,club_no_existe,ninguna
27,C.U. de Quilmes,C.U. de Quilmes,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Zona B | Femenino - Intermedia | Femenino - Ten | Femenino - Ten - Primera rueda | Femenino - Top 7,2022 2023 2024 2025 2026,7,cuq,CUQ,urba,existe,exacto
118,Camioneros R.C.,Camioneros,,femenino,Femenino - Primera  B,2025,1,,,,club_no_existe,ninguna
49,CASA de Padua,CASA de Padua,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Zona B | Femenino - SEVEN - Campeonato - Segunda Rueda | Femenino - Seven - Zona A | Femenino - Ten | Femenino - Ten - Primera rueda | Femenino - Top 4 | Femenino - Top 7,2021 2022 2023 2024 2025 2026,9,casa-de-padua,CASA de Padua,urba,existe,exacto
42,Centro Naval,Centro Naval,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Clasificación | Femenino - Campeonato 12 - Revancha | Femenino - Campeonato 12 - Zona B | Femenino - Ten - Zona A | Femenino - Top 4 | Femenino - Top 7 | Femenino - Zona Campeonato - Segunda Rueda,2021 2022 2023 2024 2025 2026,9,centro-naval,Centro Naval,urba,existe,exacto
42,Centro Naval,Centro Naval B,B,femenino,Femenino - Seven - Clasificación | Femenino - Seven - Revancha B,2022,2,centro-naval,Centro Naval,urba,existe,exacto
54,Ciudad de Bs.As.,Ciudad de Bs.As.,,femenino,FEMENINO - TOP 9 | Femenino - Campeonato 12 | Femenino - Campeonato 12 - Clasificación | Femenino - Campeonato 12 - Revancha | Femenino - Campeonato 12 - Zona A | Femenino - Intermedia | Femenino - Ten - Zona B | Femenino - Top 7 | Femenino - Zona Desarrollo - Segunda Rueda,2021 2022 2023 2024 2025 2026,9,ciudad-de-buenos-aires,Ciudad de Buenos Aires,urba,existe,exacto
76,Ciudad de Campana,Ciudad de Campana,,femenino,FEMENINO - Primera División | Femenino - Primera  B,2025 2026,2,,,,club_no_existe,ninguna
84,Defensores de Glew,Defensores de Glew,,femenino,FEMENINO - Segunda División,2026,1,,,,club_no_existe,ninguna
127,Del Oeste Rugby,Del Oeste Rugby,,femenino,FEMENINO - TOP 9 | Femenino - Primera  B,2025 2026,2,,,,club_no_existe,ninguna
37,Don Bosco,Don Bosco,,femenino,FEMENINO - Primera División,2026,1,don-bosco,Don Bosco,urba,existe,exacto
48,El Retiro,El Retiro,,femenino,Femenino - Campeonato 12 | Femenino - Ten - Primera rueda | Femenino - Ten - Revancha | Femenino - Ten - Segunda rueda,2023 2024,4,,,,club_no_existe,ninguna
86,Ezeiza,Ezeiza,,femenino,Femenino - SEVEN - Campeonato - Segunda Rueda | Femenino - Seven - Zona A,2021,2,,,,club_no_existe,ninguna
59,G y E de Ituzaingo,G y E de Ituzaingo,,femenino,FEMENINO - Segunda División | Femenino - Seven - Zona B | Femenino - Ten - Zona Campeonato - Segunda Rueda,2021 2026,3,,,,club_no_existe,ninguna
206,Guernica,Guernica,,femenino,Femenino - Ten | Femenino - Ten - Zona B | Femenino - Zona Desarrollo - Segunda Rueda,2021 2022,3,,,,club_no_existe,ninguna
