prioridad,tipo,urba_club_id,nombre,categoria,sufijo,union_id,sport,logo_url,id_sugerido,institucion_padre_urba_id,anios,veces,motivo
1,institucion,112,Elaion,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/elaion.png,elaion,,2021 2022 2023 2024,6,no existe en el padrón
1,institucion,108,Ensenada,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ensenada.png,ensenada,,2021 2022 2023 2024 2025 2026,9,no existe en el padrón
1,institucion,122,Espartanos,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/espartanos.png,espartanos,,2023 2024 2025 2026,7,no existe en el padrón
1,institucion,86,Ezeiza,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ezeiza.png,ezeiza,,2021 2023 2024 2025 2026,30,no existe en el padrón
1,institucion,87,Floresta,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/floresta.png,floresta,,2021 2022 2023 2024 2025 2026,21,no existe en el padrón
1,institucion,59,G y E de Ituzaingo,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/gyedeituzaingo.png,g-y-e-de-ituzaingo,,2021 2022 2023 2024 2025 2026,57,no existe en el padrón
1,institucion,206,Guernica,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/guernica.png,guernica,,2021 2022,3,no existe en el padrón
1,institucion,133,Handoff Rugby,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/handoff.png,handoff-rugby,,2025 2026,3,no existe en el padrón
1,institucion,110,Ivem,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/ivem.png,ivem,,2024,2,no existe en el padrón
1,institucion,64,La Salle,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/lasalle.png,la-salle,,2021 2022 2023 2024 2025 2026,40,no existe en el padrón
1,institucion,73,Las Cañas,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/lascañas.png,las-canas,,2021 2022 2023 2024 2025 2026,51,no existe en el padrón
1,institucion,207,Laz Spare Parts,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/lazspareparts.png,laz-spare-parts,,2023,2,no existe en el padrón
1,institucion,208,Lomas Social,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/lomassocial.png,lomas-social,,2022 2023 2026,5,no existe en el padrón
1,institucion,78,Los Cedros,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/loscedros.png,los-cedros,,2021 2022 2023 2024 2025 2026,42,no existe en el padrón
1,institucion,79,Los Pinos,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/lospinos.png,los-pinos,,2021 2022 2023 2024 2025 2026,35,no existe en el padrón
1,institucion,113,Malvinas Argentinas,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/malvinasargentinas.png,malvinas-argentinas,,2024 2025 2026,5,no existe en el padrón
1,institucion,124,Manzanares R.C.,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/manzanaresrc.png,manzanares-r-c,,2021 2022 2023 2024 2025 2026,11,no existe en el padrón
1,institucion,82,Marcos Paz,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/marcospaz.png,marcos-paz,,2021 2022 2023 2024 2025 2026,38,no existe en el padrón
