urba_id,external_id,nombre,anio,division,grado,age_grade,gender,rueda,equipos,partidos,partidos_jugados,has_playoffs,g22_tournament_id,g22_nombre,g22_external_id_otro_proveedor,estado,confianza
2021033,urba:2021033,Menores de 16 - Grupo 1 - Zona E,2021,otro,juvenil,M16,masculino,unica,7,21,21,no,,,,sin_verificar,sin_verificar
2021034,urba:2021034,Menores de 16 - Grupo 2 - Zona A - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021035,urba:2021035,Menores de 16 - Grupo 2 - Zona A - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021036,urba:2021036,Menores de 16 - Grupo 2 - Zona A - Equipos B - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021037,urba:2021037,Menores de 16 - Grupo 2 - Zona A - Equipos B - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021038,urba:2021038,Menores de 16 - Grupo 2 - Zona B - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021039,urba:2021039,Menores de 16 - Grupo 2 - Zona B - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,8,31,31,no,,,,sin_verificar,sin_verificar
2021040,urba:2021040,Menores de 16 - Grupo 2 - Zona B - Equipos B - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021041,urba:2021041,Menores de 16 - Grupo 2 - Zona B - Equipos B - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,8,24,24,no,,,,sin_verificar,sin_verificar
2021042,urba:2021042,Menores de 16 - Grupo 2 - Zona C - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,6,15,15,no,,,,sin_verificar,sin_verificar
2021043,urba:2021043,Menores de 16 - Grupo 2 - Zona C - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021044,urba:2021044,Menores de 16 - Grupo 2 - Zona C - Equipos B - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,6,15,15,no,,,,sin_verificar,sin_verificar
2021045,urba:2021045,Menores de 16 - Grupo 2 - Zona C - Equipos B - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021046,urba:2021046,Menores de 16 - Grupo 2 - Zona D - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021047,urba:2021047,Menores de 16 - Grupo 2 - Zona D - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,10,33,33,no,,,,sin_verificar,sin_verificar
2021048,urba:2021048,Menores de 16 - Grupo 2 - Zona D - Equipos B - Primera Rueda,2021,otro,juvenil,M16,masculino,primera,7,21,21,no,,,,sin_verificar,sin_verificar
2021049,urba:2021049,Menores de 16 - Grupo 2 - Zona D - Equipos B - Segunda Rueda,2021,otro,juvenil,M16,masculino,segunda,10,29,29,no,,,,sin_verificar,sin_verificar
2021050,urba:2021050,Menores de 17 - Grupo 1 - Formativa A - Segunda Rueda,2021,Formativo,juvenil,M17,masculino,segunda,9,24,24,no,,,,sin_verificar,sin_verificar
2021051,urba:2021051,Menores de 17 - Grupo 1 - Zona A - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,9,27,27,no,,,,sin_verificar,sin_verificar
2021052,urba:2021052,Menores de 17 - Grupo 1 - Zona A - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021053,urba:2021053,Menores de 17 - Grupo 1 - Zona B - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,6,14,14,no,,,,sin_verificar,sin_verificar
2021054,urba:2021054,Menores de 17 - Grupo 1 - Zona B - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,6,14,14,no,,,,sin_verificar,sin_verificar
2021055,urba:2021055,Menores de 17 - Grupo 2 - Zona A - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,9,28,28,no,,,,sin_verificar,sin_verificar
2021056,urba:2021056,Menores de 17 - Grupo 2 - Zona A - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021057,urba:2021057,Menores de 17 - Grupo 2 - Zona A - Equipos B - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,9,27,27,no,,,,sin_verificar,sin_verificar
2021058,urba:2021058,Menores de 17 - Grupo 2 - Zona A - Equipos B - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,8,27,27,no,,,,sin_verificar,sin_verificar
2021059,urba:2021059,Menores de 17 - Grupo 2 - Zona B - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,9,28,28,no,,,,sin_verificar,sin_verificar
2021060,urba:2021060,Menores de 17 - Grupo 2 - Zona B - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021061,urba:2021061,Menores de 17 - Grupo 2 - Zona B - Equipos B - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,9,28,28,no,,,,sin_verificar,sin_verificar
2021062,urba:2021062,Menores de 17 - Grupo 2 - Zona B - Equipos B - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,8,21,21,no,,,,sin_verificar,sin_verificar
2021063,urba:2021063,Menores de 17 - Grupo 2 - Zona C - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,6,13,13,no,,,,sin_verificar,sin_verificar
2021064,urba:2021064,Menores de 17 - Grupo 2 - Zona C - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,6,15,15,no,,,,sin_verificar,sin_verificar
2021065,urba:2021065,Menores de 17 - Grupo 2 - Zona C - Equipos B - Primera Rueda,2021,otro,juvenil,M17,masculino,primera,6,13,13,no,,,,sin_verificar,sin_verificar
2021066,urba:2021066,Menores de 17 - Grupo 2 - Zona C - Equipos B - Segunda Rueda,2021,otro,juvenil,M17,masculino,segunda,6,17,17,no,,,,sin_verificar,sin_verificar
2021067,urba:2021067,Menores de 18 - Grupo 1 - Formativa A - Primera Rueda,2021,Formativo,juvenil,M18,masculino,primera,5,10,10,no,,,,sin_verificar,sin_verificar
2021068,urba:2021068,Menores de 18 - Grupo 1 - Formativa A - Segunda Rueda,2021,Formativo,juvenil,M18,masculino,segunda,10,30,30,no,,,,sin_verificar,sin_verificar
2021069,urba:2021069,Menores de 18 - Grupo 1 - Formativa B,2021,Formativo,juvenil,M18,masculino,unica,6,14,14,no,,,,sin_verificar,sin_verificar
2021070,urba:2021070,Menores de 18 - Grupo 1 - Zona A - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021071,urba:2021071,Menores de 18 - Grupo 1 - Zona A - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021072,urba:2021072,Menores de 18 - Grupo 1 - Zona B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021073,urba:2021073,Menores de 18 - Grupo 1 - Zona B - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,7,20,20,no,,,,sin_verificar,sin_verificar
2021074,urba:2021074,Menores de 18 - Grupo 1 - Zona C - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,8,28,28,no,,,,sin_verificar,sin_verificar
2021075,urba:2021075,Menores de 18 - Grupo 1 - Zona C - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,5,10,10,no,,,,sin_verificar,sin_verificar
2021076,urba:2021076,Menores de 18 - Grupo 2 - Zona A - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,6,15,15,no,,,,sin_verificar,sin_verificar
2021077,urba:2021077,Menores de 18 - Grupo 2 - Zona A - Segunda Rueda,2021,otro,juvenil,M18,masculino,segunda,8,28,28,no,,,,sin_verificar,sin_verificar
2021078,urba:2021078,Menores de 18 - Grupo 2 - Zona A - Equipos B - Primera Rueda,2021,otro,juvenil,M18,masculino,primera,6,14,14,no,,,,sin_verificar,sin_verificar
