provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,204|empresarial|B,circulo-policia-federal,204,empresarial,B,exacto,institucion,1,Circulo Policia Federal,Circulo Policia Federal B,2023,1
urba,125|empresarial|,cirfaa-patriotas-rugby,125,empresarial,"",exacto,institucion,1,CIRFAA Patriotas Rugby,Patriotas,2021 2022 2023,4
urba,125|formativo|,cirfaa-patriotas-rugby,125,formativo,"",exacto,institucion,1,CIRFAA Patriotas Rugby,Patriotas Rugby,2024 2025 2026,5
urba,76|femenino|,ciudad-de-campana,76,femenino,"",exacto,institucion,1,Ciudad de Campana,Ciudad de Campana,2025 2026,2
urba,76|intermedia|,ciudad-de-campana,76,intermedia,"",exacto,institucion,1,Ciudad de Campana,Ciudad De Campana,2021 2022 2023 2024 2025 2026,6
urba,76|mayores|,ciudad-de-campana,76,mayores,"",exacto,institucion,1,Ciudad de Campana,Ciudad De Campana,2021 2022 2023 2024 2025 2026,6
urba,97|mayores|,cune,97,mayores,"",exacto,institucion,1,CUNE,CUNE,2021,1
urba,97|universitario|,cune,97,universitario,"",exacto,institucion,1,CUNE,CUNE,2021 2022 2023 2024 2025 2026,10
urba,84|femenino|,defensores-de-glew,84,femenino,"",exacto,institucion,1,Defensores de Glew,Defensores de Glew,2026,1
urba,84|intermedia|,defensores-de-glew,84,intermedia,"",exacto,institucion,1,Defensores de Glew,Defensores de Glew,2021 2022 2023 2024 2025 2026,7
urba,84|mayores|,defensores-de-glew,84,mayores,"",exacto,institucion,1,Defensores de Glew,Defensores de Glew,2021 2022 2023 2024 2025 2026,7
urba,127|femenino|,del-oeste-rugby,127,femenino,"",exacto,institucion,1,Del Oeste Rugby,Del Oeste Rugby,2025 2026,2
urba,127|universitario|,del-oeste-rugby,127,universitario,"",exacto,institucion,1,Del Oeste Rugby,Del Oeste Rugby,2025 2026,2
urba,205|empresarial|,distribuidora-del-oeste,205,empresarial,"",exacto,institucion,1,Distribuidora del Oeste,Distribuidora del Oeste,2021 2022,2
urba,131|formativo|,dorrego-rugby,131,formativo,"",exacto,institucion,1,Dorrego Rugby,Dorrego Rugby,2025 2026,3
urba,48|femenino|,el-retiro,48,femenino,"",exacto,institucion,1,El Retiro,El Retiro,2023 2024,4
urba,48|intermedia|,el-retiro,48,intermedia,"",exacto,institucion,1,El Retiro,El Retiro,2021 2022 2023 2024 2025 2026,6
urba,48|mayores|,el-retiro,48,mayores,"",exacto,institucion,1,El Retiro,El Retiro,2021 2022 2023 2024 2025 2026,7
urba,48|preintermedia|,el-retiro,48,preintermedia,"",exacto,institucion,1,El Retiro,El Retiro,2022 2023 2024 2025,4
urba,112|empresarial|,elaion,112,empresarial,"",exacto,institucion,1,Elaion,Elaion,2021 2022 2023,4
urba,112|formativo|,elaion,112,formativo,"",exacto,institucion,1,Elaion,Elaion,2024,2
urba,108|empresarial|,ensenada,108,empresarial,"",exacto,institucion,1,Ensenada,Ensenada,2021 2022 2023,4
urba,108|formativo|,ensenada,108,formativo,"",exacto,institucion,1,Ensenada,Ensenada,2024 2025 2026,5
urba,122|empresarial|,espartanos,122,empresarial,"",exacto,institucion,1,Espartanos,Espartanos,2023,2
urba,122|formativo|,espartanos,122,formativo,"",exacto,institucion,1,Espartanos,Espartanos,2024 2025 2026,5
urba,86|femenino|,ezeiza,86,femenino,"",exacto,institucion,1,Ezeiza,Ezeiza,2021,2
urba,86|intermedia|,ezeiza,86,intermedia,"",exacto,institucion,1,Ezeiza,Ezeiza,2021 2023 2024 2025 2026,5
urba,86|mayores|,ezeiza,86,mayores,"",exacto,institucion,1,Ezeiza,Ezeiza,2021 2023 2024 2025 2026,5
urba,87|intermedia|,floresta,87,intermedia,"",exacto,institucion,1,Floresta,Floresta,2021 2022 2023 2024 2025 2026,7
urba,87|mayores|,floresta,87,mayores,"",exacto,institucion,1,Floresta,Floresta,2021 2022 2023 2024 2025 2026,7
urba,59|femenino|,g-y-e-de-ituzaingo,59,femenino,"",exacto,institucion,1,G y E de Ituzaingo,G y E de Ituzaingo,2021 2026,3
